number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
59,0.8354802717732795,2026-02-08 12:42:24.340659,2026-02-08 12:42:25.147069,0 days 00:00:00.806410,0.9215565629247797,0.106462959017743,0.039757911067366154,4,8,640,1.3583012767974923e-06,9.096499712972184e-06,0.7370863739748379,COMPLETE
60,0.8481786844716923,2026-02-08 12:42:25.172402,2026-02-08 12:42:26.533474,0 days 00:00:01.361072,0.9330603349403505,0.3411451099951419,0.018797017918502967,3,8,557,3.960576615394475e-07,1.1062130693028333e-06,0.7161985719966523,COMPLETE
61,0.8489555990110929,2026-02-08 12:42:26.558113,2026-02-08 12:42:27.816025,0 days 00:00:01.257912,0.9576850870358625,0.6428237834537162,0.013003194239823577,3,7,489,1.692783945699035e-08,3.7475173933639218e-06,0.7555101728323673,COMPLETE
62,0.8491118040507608,2026-02-08 12:42:27.846734,2026-02-08 12:42:28.433818,0 days 00:00:00.587084,0.9608843079126322,0.657675730411591,0.013247738756793921,3,7,486,1.4027949633077342e-08,5.125082074703481e-06,0.7644006222066465,COMPLETE
63,0.8490959486519976,2026-02-08 12:42:28.455536,2026-02-08 12:42:29.121354,0 days 00:00:00.665818,0.958052477865136,0.6948087617103689,0.01268615278555218,3,7,486,1.357890418655268e-08,1.792030233493903e-05,0.7491668454337205,COMPLETE
64,0.8492762304083058,2026-02-08 12:42:29.157353,2026-02-08 12:42:30.631255,0 days 00:00:01.473902,0.9614873465916587,0.700209731751271,0.01215196288898884,3,7,478,1.726056288500234e-08,8.842010159847204e-05,0.7552809194593777,COMPLETE
65,0.8494124693902718,2026-02-08 12:42:30.656431,2026-02-08 12:42:31.740766,0 days 00:00:01.084335,0.9997211036558454,0.7105449432373487,0.013016872136168109,3,7,478,1.0656199596088912e-08,2.1278080139348376e-05,0.7560549960269033,COMPLETE
66,0.8492847453446787,2026-02-08 12:42:31.768777,2026-02-08 12:42:32.469266,0 days 00:00:00.700489,0.9927359340964788,0.7141427511489867,0.012440562199444758,3,7,476,1.0354863887878593e-08,0.0001621587687208584,0.7655641204451444,COMPLETE
67,0.8493326051594643,2026-02-08 12:42:32.493049,2026-02-08 12:42:33.726880,0 days 00:00:01.233831,0.9899562479741444,0.7183909638412805,0.0110059978004253,3,6,483,1.0756284627147722e-08,0.00012096613296449249,0.7712317440388725,COMPLETE
68,0.8488275813470043,2026-02-08 12:42:33.751339,2026-02-08 12:42:34.994101,0 days 00:00:01.242762,0.9915048284662298,0.7431930924079446,0.011069530718223693,3,6,449,1.1503439835636178e-08,0.0005375397046270788,0.7738966288964644,COMPLETE
